Re,psi_primary,xc,yc,psi_BR,psi_BL,iters,N
100,-0.10332440947168597,0.6171875,0.734375,1.3166294011837665e-05,1.9938943666220413e-06,71500,129
400,-0.1127706001573257,0.5546875,0.609375,0.000642717091918054,1.4508591660696013e-05,41000,129
1000,-0.1154596010963913,0.53125,0.5703125,0.0016900889624152787,0.00021442026730614456,64000,129
2000,-0.11374336495450212,0.5234375,0.546875,0.0023650260026441827,0.0006629070662433987,129500,129
3200,-0.10991454411891868,0.515625,0.5390625,0.0026330222215087892,0.0009491770244670287,180000,129
5000,-0.10884575725530327,0.51875,0.5375,0.002867365876336077,0.001204960859703225,200000,161
7500,-0.0968278939805922,0.5125000000000001,0.53125,0.002903683527998583,0.001290610678058105,200000,161
