y,u
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,-2.942217173991901191e-03
7.812500000000000000e-03,-5.832365046981535794e-03
1.171875000000000000e-02,-8.672624554419527954e-03
1.562500000000000000e-02,-1.146510714049830959e-02
1.953125000000000000e-02,-1.421185727945073474e-02
2.343750000000000000e-02,-1.691485487028798751e-02
2.734375000000000000e-02,-1.957601750900628268e-02
3.125000000000000000e-02,-2.219720264220748085e-02
3.515625000000000000e-02,-2.478020960594862210e-02
3.906250000000000000e-02,-2.732678155342549431e-02
4.296875000000000000e-02,-2.983860727507048338e-02
4.687500000000000000e-02,-3.231732291439604055e-02
5.078125000000000000e-02,-3.476451358290555405e-02
5.468750000000000000e-02,-3.718171487719379442e-02
5.859375000000000000e-02,-3.957041430120655789e-02
6.250000000000000000e-02,-4.193205259666532569e-02
6.640625000000000000e-02,-4.426802498438942024e-02
7.031250000000000000e-02,-4.657968231923836910e-02
7.421875000000000000e-02,-4.886833216129593538e-02
7.812500000000000000e-02,-5.113523976579648078e-02
8.203125000000000000e-02,-5.338162899423748442e-02
8.593750000000000000e-02,-5.560868314905587084e-02
8.984375000000000000e-02,-5.781754573414321641e-02
9.375000000000000000e-02,-6.000932114345669532e-02
9.765625000000000000e-02,-6.218507527986361083e-02
1.015625000000000000e-01,-6.434583610639421636e-02
1.054687500000000000e-01,-6.649259413200248048e-02
1.093750000000000000e-01,-6.862630283379012042e-02
1.132812500000000000e-01,-7.074787901784862498e-02
1.171875000000000000e-01,-7.285820312064394955e-02
1.210937500000000000e-01,-7.495811945293517908e-02
1.250000000000000000e-01,-7.704843638823621887e-02
1.289062500000000000e-01,-7.912992649774519549e-02
1.328125000000000000e-01,-8.120332663378349025e-02
1.367187500000000000e-01,-8.326933796366375873e-02
1.406250000000000000e-01,-8.532862595600843036e-02
1.445312500000000000e-01,-8.738182032155705770e-02
1.484375000000000000e-01,-8.942951491046269297e-02
1.523437500000000000e-01,-9.147226756818405136e-02
1.562500000000000000e-01,-9.351059995205979192e-02
1.601562500000000000e-01,-9.554499731071075530e-02
1.640625000000000000e-01,-9.757590822848971612e-02
1.679687500000000000e-01,-9.960374433717156251e-02
1.718750000000000000e-01,-1.016288799971940549e-01
1.757812500000000000e-01,-1.036516519508339229e-01
1.796875000000000000e-01,-1.056723589496773030e-01
1.835937500000000000e-01,-1.076912613588634215e-01
1.875000000000000000e-01,-1.097085807406896762e-01
1.914062500000000000e-01,-1.117244994201067598e-01
1.953125000000000000e-01,-1.137391600348562903e-01
1.992187500000000000e-01,-1.157526650729785445e-01
2.031250000000000000e-01,-1.177650764004942729e-01
2.070312500000000000e-01,-1.197764147821738234e-01
2.109375000000000000e-01,-1.217866593983947254e-01
2.148437500000000000e-01,-1.237957473611421833e-01
2.187500000000000000e-01,-1.258035732322486666e-01
2.226562500000000000e-01,-1.278099885470593833e-01
2.265625000000000000e-01,-1.298148013469022644e-01
2.304687500000000000e-01,-1.318177757236345116e-01
2.343750000000000000e-01,-1.338186313796034810e-01
2.382812500000000000e-01,-1.358170432067034028e-01
