x,v_ghia,v_solver,error
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.687999999999999945e-01,-2.138799999999999868e-01,-2.246633619410153826e-01,-1.078336194101539580e-02
9.608999999999999764e-01,-2.766899999999999915e-01,-2.896488669040281350e-01,-1.295886690402814345e-02
9.530999999999999472e-01,-3.371399999999999952e-01,-3.506728558747736479e-01,-1.353285587477365270e-02
9.453000000000000291e-01,-3.918800000000000061e-01,-4.053213896049758236e-01,-1.344138960497581747e-02
9.062999999999999945e-01,-5.154999999999999583e-01,-5.223596152174994067e-01,-6.859615217499448470e-03
8.594000000000000528e-01,-4.266499999999999737e-01,-4.245631090360976190e-01,2.086890963902354734e-03
8.046999999999999709e-01,-3.196599999999999997e-01,-3.182880742764226945e-01,1.371925723577305245e-03
5.000000000000000000e-01,2.526000000000000120e-02,2.583661930528791117e-02,5.766193052879099723e-04
2.343999999999999972e-01,3.223500000000000254e-01,3.234530465721316417e-01,1.103046572131616276e-03
2.265999999999999959e-01,3.307499999999999885e-01,3.319572679228507406e-01,1.207267922850752129e-03
1.562999999999999945e-01,3.709500000000000020e-01,3.735275157556431913e-01,2.577515755643189355e-03
9.379999999999999449e-02,3.262700000000000045e-01,3.293977807336939123e-01,3.127780733693907855e-03
7.810000000000000275e-02,3.035300000000000220e-01,3.064222573002596817e-01,2.892257300259659658e-03
7.030000000000000138e-02,2.901199999999999890e-01,2.928858009983122401e-01,2.765800998312251124e-03
6.250000000000000000e-02,2.748499999999999832e-01,2.774426120613504576e-01,2.592612061350474395e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
