y,u_ghia,u_solver,error
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.766000000000000236e-01,7.583699999999999886e-01,7.598195236554053933e-01,1.449523655405404732e-03
9.687999999999999945e-01,6.843900000000000539e-01,6.861799920598193880e-01,1.789992059819334180e-03
9.608999999999999764e-01,6.175599999999999978e-01,6.187652752358739905e-01,1.205275235873992656e-03
9.530999999999999472e-01,5.589199999999999724e-01,5.603420135523009549e-01,1.422013552300982475e-03
8.516000000000000236e-01,2.909300000000000219e-01,2.911184246362505945e-01,1.884246362505725969e-04
7.344000000000000528e-01,1.625600000000000100e-01,1.620176909354346662e-01,-5.423090645653438902e-04
6.171999999999999709e-01,2.135000000000000092e-02,2.073308031261210729e-02,-6.169196873878936282e-04
5.000000000000000000e-01,-1.147699999999999970e-01,-1.152633190489602555e-01,-4.933190489602584661e-04
4.531000000000000028e-01,-1.711900000000000088e-01,-1.716695996659887147e-01,-4.795996659887058478e-04
2.812999999999999945e-01,-3.272599999999999953e-01,-3.276679003055578687e-01,-4.079003055578733772e-04
1.718999999999999972e-01,-2.429900000000000115e-01,-2.422613315102493392e-01,7.286684897506723324e-04
1.015999999999999959e-01,-1.461199999999999999e-01,-1.451176711827380228e-01,1.002328817261977090e-03
7.030000000000000138e-02,-1.033799999999999997e-01,-1.024957678519841930e-01,8.842321480158066294e-04
6.250000000000000000e-02,-9.266000000000000625e-02,-9.186709554785288390e-02,7.929044521471223517e-04
5.469999999999999862e-02,-8.186000000000000221e-02,-8.116578865358078931e-02,6.942113464192128935e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
