N,h,L2_error
1.700000000000000000e+01,6.250000000000000000e-02,1.716781034708585521e-03
3.300000000000000000e+01,3.125000000000000000e-02,4.147497700031469196e-04
6.500000000000000000e+01,1.562500000000000000e-02,1.020047287440221663e-04
1.290000000000000000e+02,7.812500000000000000e-03,2.529809941104330516e-05
2.570000000000000000e+02,3.906250000000000000e-03,6.299580220156848939e-06
