N,h,psi_min
3.300000000000000000e+01,3.125000000000000000e-02,-1.003814761756014751e-01
6.500000000000000000e+01,1.562500000000000000e-02,-1.027234168509408990e-01
1.290000000000000000e+02,7.812500000000000000e-03,-1.033246734179996407e-01
2.570000000000000000e+02,3.906250000000000000e-03,-1.034734923297180864e-01
