y,u
1.679687500000000000e-01,-3.849170279724747346e-01
1.718750000000000000e-01,-3.853055210996192415e-01
1.757812500000000000e-01,-3.851584428268131077e-01
1.796875000000000000e-01,-3.844961070726586883e-01
1.835937500000000000e-01,-3.833419913140687640e-01
1.875000000000000000e-01,-3.817223270981262573e-01
1.914062500000000000e-01,-3.796656601410477450e-01
1.953125000000000000e-01,-3.772023908339612319e-01
1.992187500000000000e-01,-3.743643060057655347e-01
2.031250000000000000e-01,-3.711841124554222660e-01
2.070312500000000000e-01,-3.676949820989410256e-01
2.109375000000000000e-01,-3.639301176316553921e-01
2.148437500000000000e-01,-3.599223464450300725e-01
2.187500000000000000e-01,-3.557037492235775034e-01
2.226562500000000000e-01,-3.513053282456137794e-01
2.265625000000000000e-01,-3.467567189824993790e-01
2.304687500000000000e-01,-3.420859471899326820e-01
2.343750000000000000e-01,-3.373192323585385566e-01
2.382812500000000000e-01,-3.324808371776519778e-01
2.421875000000000000e-01,-3.275929615944352946e-01
2.460937500000000000e-01,-3.226756791391203194e-01
2.500000000000000000e-01,-3.177469124467542372e-01
2.539062500000000000e-01,-3.128224443383835762e-01
2.578125000000000000e-01,-3.079159604254240179e-01
2.617187500000000000e-01,-3.030391189601147062e-01
2.656250000000000000e-01,-2.982016435577836688e-01
2.695312500000000000e-01,-2.934114344460994062e-01
2.734375000000000000e-01,-2.886746940333484446e-01
2.773437500000000000e-01,-2.839960628124416075e-01
2.812500000000000000e-01,-2.793787619102587882e-01
2.851562500000000000e-01,-2.748247389346758496e-01
2.890625000000000000e-01,-2.703348141466772603e-01
2.929687500000000000e-01,-2.659088243774281324e-01
2.968750000000000000e-01,-2.615457625066621716e-01
3.007812500000000000e-01,-2.572439107076647247e-01
3.046875000000000000e-01,-2.530009660371295155e-01
3.085937500000000000e-01,-2.488141572975877125e-01
3.125000000000000000e-01,-2.446803524212235459e-01
3.164062500000000000e-01,-2.405961559130478378e-01
3.203125000000000000e-01,-2.365579961465957837e-01
3.242187500000000000e-01,-2.325622025260756232e-01
3.281250000000000000e-01,-2.286050727153590145e-01
3.320312500000000000e-01,-2.246829302876047763e-01
3.359375000000000000e-01,-2.207921732715902863e-01
3.398437500000000000e-01,-2.169293141643411360e-01
3.437500000000000000e-01,-2.130910120466200652e-01
3.476562500000000000e-01,-2.092740974817939303e-01
3.515625000000000000e-01,-2.054755909019512217e-01
3.554687500000000000e-01,-2.016927151907488280e-01
3.593750000000000000e-01,-1.979229031635050262e-01
3.632812500000000000e-01,-1.941638006239561065e-01
3.671875000000000000e-01,-1.904132656462493856e-01
3.710937500000000000e-01,-1.866693646926371741e-01
3.750000000000000000e-01,-1.829303661338830267e-01
3.789062500000000000e-01,-1.791947316923394595e-01
3.828125000000000000e-01,-1.754611062789077636e-01
3.867187500000000000e-01,-1.717283066452726104e-01
3.906250000000000000e-01,-1.679953092238619661e-01
3.945312500000000000e-01,-1.642612374803142927e-01
3.984375000000000000e-01,-1.605253490575151432e-01
4.023437500000000000e-01,-1.567870229474870314e-01
4.062500000000000000e-01,-1.530457468872690185e-01
4.101562500000000000e-01,-1.493011051385231269e-01
4.140625000000000000e-01,-1.455527667772518186e-01
4.179687500000000000e-01,-1.418004745902532449e-01
4.218750000000000000e-01,-1.380440346487290526e-01
4.257812500000000000e-01,-1.342833066063295888e-01
4.296875000000000000e-01,-1.305181947492215500e-01
4.335937500000000000e-01,-1.267486398087385169e-01
4.375000000000000000e-01,-1.229746115332819301e-01
4.414062500000000000e-01,-1.191961020043805775e-01
4.453125000000000000e-01,-1.154131196726790876e-01
4.492187500000000000e-01,-1.116256840822966723e-01
4.531250000000000000e-01,-1.078338212464675649e-01
4.570312500000000000e-01,-1.040375596337206332e-01
4.609375000000000000e-01,-1.002369267211626891e-01
4.648437500000000000e-01,-9.643194606999117013e-02
