y,u
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,-6.378249471432173578e-03
7.812500000000000000e-03,-1.263553970317604636e-02
1.171875000000000000e-02,-1.878062625152876475e-02
1.562500000000000000e-02,-2.482185202754627618e-02
1.953125000000000000e-02,-3.076720148798928189e-02
2.343750000000000000e-02,-3.662434750485732415e-02
2.734375000000000000e-02,-4.240069079965080867e-02
3.125000000000000000e-02,-4.810339194576451760e-02
3.515625000000000000e-02,-5.373939604301614104e-02
3.906250000000000000e-02,-5.931545025551621109e-02
4.296875000000000000e-02,-6.483811448063980798e-02
4.687500000000000000e-02,-7.031376548434931095e-02
5.078125000000000000e-02,-7.574859489827989734e-02
5.468750000000000000e-02,-8.114860152738279098e-02
5.859375000000000000e-02,-8.651957846425917253e-02
6.250000000000000000e-02,-9.186709554785288390e-02
6.640625000000000000e-02,-9.719647773955042425e-02
7.031250000000000000e-02,-1.025127800192793259e-01
7.421875000000000000e-02,-1.078207594272000414e-01
7.812500000000000000e-02,-1.131248448928676709e-01
8.203125000000000000e-02,-1.184291055029036421e-01
8.593750000000000000e-02,-1.237372178600395500e-01
8.984375000000000000e-02,-1.290524331805156244e-01
9.375000000000000000e-02,-1.343775447632893361e-01
9.765625000000000000e-02,-1.397148564433114970e-01
1.015625000000000000e-01,-1.450661526124013001e-01
1.054687500000000000e-01,-1.504326703558098721e-01
1.093750000000000000e-01,-1.558150742102899500e-01
1.132812500000000000e-01,-1.612134340019450995e-01
1.171875000000000000e-01,-1.666272061697271489e-01
1.210937500000000000e-01,-1.720552189243194086e-01
1.250000000000000000e-01,-1.774956615336691357e-01
1.289062500000000000e-01,-1.829460779664864312e-01
1.328125000000000000e-01,-1.884033650651120162e-01
1.367187500000000000e-01,-1.938637753601386571e-01
1.406250000000000000e-01,-1.993229245824164053e-01
1.445312500000000000e-01,-2.047758038743197062e-01
1.484375000000000000e-01,-2.102167966521073517e-01
1.523437500000000000e-01,-2.156397000258021279e-01
1.562500000000000000e-01,-2.210377506421852267e-01
1.601562500000000000e-01,-2.264036547805101662e-01
1.640625000000000000e-01,-2.317296224995422094e-01
1.679687500000000000e-01,-2.370074056079243263e-01
1.718750000000000000e-01,-2.422283392073283359e-01
1.757812500000000000e-01,-2.473833865387362607e-01
1.796875000000000000e-01,-2.524631868460844863e-01
1.835937500000000000e-01,-2.574581059572231823e-01
1.875000000000000000e-01,-2.623582892692959412e-01
1.914062500000000000e-01,-2.671537168136990381e-01
1.953125000000000000e-01,-2.718342600637484452e-01
1.992187500000000000e-01,-2.763897401361643524e-01
2.031250000000000000e-01,-2.808099870249050056e-01
2.070312500000000000e-01,-2.850848994929551239e-01
2.109375000000000000e-01,-2.892045052343874545e-01
2.148437500000000000e-01,-2.931590209057874929e-01
2.187500000000000000e-01,-2.969389116135907614e-01
2.226562500000000000e-01,-3.005349494325502135e-01
2.265625000000000000e-01,-3.039382705211544078e-01
2.304687500000000000e-01,-3.071404303936260405e-01
2.343750000000000000e-01,-3.101334569052554002e-01
2.382812500000000000e-01,-3.129099005097506492e-01
2.421875000000000000e-01,-3.154628813546231925e-01
2.460937500000000000e-01,-3.177861327934285995e-01
2.500000000000000000e-01,-3.198740409133602469e-01
2.539062500000000000e-01,-3.217216797027182551e-01
2.578125000000000000e-01,-3.233248415154879041e-01
2.617187500000000000e-01,-3.246800625297447951e-01
2.656250000000000000e-01,-3.257846429420681034e-01
2.695312500000000000e-01,-3.266366616912810272e-01
2.734375000000000000e-01,-3.272349855608513991e-01
2.773437500000000000e-01,-3.275792725691877294e-01
2.812500000000000000e-01,-3.276699696197642453e-01
2.851562500000000000e-01,-3.275083044473889871e-01
2.890625000000000000e-01,-3.270962719617811487e-01
2.929687500000000000e-01,-3.264366151535895710e-01
