x,v
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,7.280891776478701921e-03
7.812500000000000000e-03,1.437257642910813940e-02
1.171875000000000000e-02,2.127621189356102352e-02
1.562500000000000000e-02,2.799312455156240109e-02
1.953125000000000000e-02,3.452479867269982877e-02
2.343750000000000000e-02,4.087286624091855669e-02
2.734375000000000000e-02,4.703909712864179360e-02
3.125000000000000000e-02,5.302538958734527574e-02
3.515625000000000000e-02,5.883376102863763224e-02
3.906250000000000000e-02,6.446633907449825229e-02
4.296875000000000000e-02,6.992535285938417111e-02
4.687500000000000000e-02,7.521312457044795896e-02
5.078125000000000000e-02,8.033206121522731835e-02
5.468750000000000000e-02,8.528464660875723080e-02
5.859375000000000000e-02,9.007343357436115028e-02
6.250000000000000000e-02,9.470103635432702838e-02
6.640625000000000000e-02,9.917012322823925974e-02
7.031250000000000000e-02,1.034834093380910813e-01
7.421875000000000000e-02,1.076436497203665521e-01
7.812500000000000000e-02,1.116536325461620072e-01
8.203125000000000000e-02,1.155161725710260878e-01
8.593750000000000000e-02,1.192341047966847256e-01
8.984375000000000000e-02,1.228102783471300974e-01
9.375000000000000000e-02,1.262475505617132177e-01
9.765625000000000000e-02,1.295487813079452266e-01
1.015625000000000000e-01,1.327168275166227263e-01
1.054687500000000000e-01,1.357545379417550713e-01
1.093750000000000000e-01,1.386647481475669075e-01
1.132812500000000000e-01,1.414502757245008624e-01
1.171875000000000000e-01,1.441139157358284351e-01
1.210937500000000000e-01,1.466584363960592441e-01
1.250000000000000000e-01,1.490865749819101360e-01
1.289062500000000000e-01,1.514010339761586721e-01
1.328125000000000000e-01,1.536044774441327476e-01
1.367187500000000000e-01,1.556995276421941909e-01
1.406250000000000000e-01,1.576887618570148586e-01
1.445312500000000000e-01,1.595747094739403682e-01
1.484375000000000000e-01,1.613598492722216893e-01
1.523437500000000000e-01,1.630466069444345134e-01
1.562500000000000000e-01,1.646373528368818562e-01
1.601562500000000000e-01,1.661343999073374711e-01
1.640625000000000000e-01,1.675400018960306880e-01
1.679687500000000000e-01,1.688563517053078833e-01
1.718750000000000000e-01,1.700855799830649495e-01
1.757812500000000000e-01,1.712297539046505612e-01
1.796875000000000000e-01,1.722908761475436812e-01
1.835937500000000000e-01,1.732708840528318639e-01
1.875000000000000000e-01,1.741716489672402446e-01
1.914062500000000000e-01,1.749949757591662269e-01
1.953125000000000000e-01,1.757426025019772631e-01
1.992187500000000000e-01,1.764162003176106275e-01
2.031250000000000000e-01,1.770173733733786392e-01
2.070312500000000000e-01,1.775476590247473396e-01
2.109375000000000000e-01,1.780085280967513839e-01
2.148437500000000000e-01,1.784013852966186420e-01
2.187500000000000000e-01,1.787275697502495042e-01
2.226562500000000000e-01,1.789883556550395660e-01
2.265625000000000000e-01,1.791849530416373959e-01
2.304687500000000000e-01,1.793185086373605408e-01
2.343750000000000000e-01,1.793901068238845653e-01
2.382812500000000000e-01,1.794007706820619497e-01
2.421875000000000000e-01,1.793514631168919848e-01
2.460937500000000000e-01,1.792430880556419304e-01
2.500000000000000000e-01,1.790764917123963684e-01
2.539062500000000000e-01,1.788524639126300997e-01
2.578125000000000000e-01,1.785717394712849071e-01
2.617187500000000000e-01,1.782349996183256735e-01
2.656250000000000000e-01,1.778428734659742716e-01
2.695312500000000000e-01,1.773959395118405169e-01
2.734375000000000000e-01,1.768947271727085990e-01
2.773437500000000000e-01,1.763397183438364380e-01
2.812500000000000000e-01,1.757313489789149585e-01
2.851562500000000000e-01,1.750700106862286276e-01
2.890625000000000000e-01,1.743560523366634030e-01
2.929687500000000000e-01,1.735897816796603266e-01
2.968750000000000000e-01,1.727714669634421440e-01
3.007812500000000000e-01,1.719013385560730356e-01
3.046875000000000000e-01,1.709795905643094471e-01
3.085937500000000000e-01,1.700063824474202789e-01
3.125000000000000000e-01,1.689818406233944970e-01
3.164062500000000000e-01,1.679060600653796698e-01
