x,v
0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,2.866124722225889265e-02
7.812500000000000000e-03,5.561138329255795043e-02
1.171875000000000000e-02,8.086816888454068097e-02
1.562500000000000000e-02,1.044488372015986710e-01
1.953125000000000000e-02,1.263768678110210875e-01
2.343750000000000000e-02,1.466867764660470252e-01
2.734375000000000000e-02,1.654269356569177396e-01
3.125000000000000000e-02,1.826605752580537922e-01
3.515625000000000000e-02,1.984652117102465030e-01
3.906250000000000000e-02,2.129308192731772520e-01
4.296875000000000000e-02,2.261570900156638642e-01
4.687500000000000000e-02,2.382501333815478795e-01
5.078125000000000000e-02,2.493189455389451803e-01
5.468750000000000000e-02,2.594719384687067532e-01
5.859375000000000000e-02,2.688137647237729411e-01
6.250000000000000000e-02,2.774426120613504576e-01
6.640625000000000000e-02,2.854480785216917393e-01
7.031250000000000000e-02,2.929096781170172914e-01
7.421875000000000000e-02,2.998959741899926978e-01
7.812500000000000000e-02,3.064642945505673399e-01
8.203125000000000000e-02,3.126609512349234343e-01
8.593750000000000000e-02,3.185218684272812517e-01
8.984375000000000000e-02,3.240735139403225773e-01
9.375000000000000000e-02,3.293340310363350731e-01
9.765625000000000000e-02,3.343144761424969857e-01
1.015625000000000000e-01,3.390200818105673086e-01
1.054687500000000000e-01,3.434514807949931026e-01
1.093750000000000000e-01,3.476058443517899832e-01
1.132812500000000000e-01,3.514779041878179910e-01
1.171875000000000000e-01,3.550608417918192927e-01
1.210937500000000000e-01,3.583470405076543130e-01
1.250000000000000000e-01,3.613287044399049464e-01
1.289062500000000000e-01,3.639983542176050690e-01
1.328125000000000000e-01,3.663492131165204668e-01
1.367187500000000000e-01,3.683754985165244022e-01
1.406250000000000000e-01,3.700726336530069105e-01
1.445312500000000000e-01,3.714373935932746562e-01
1.484375000000000000e-01,3.724679977500331418e-01
1.523437500000000000e-01,3.731641593685806058e-01
1.562500000000000000e-01,3.735271005365774499e-01
1.601562500000000000e-01,3.735595395260888907e-01
1.640625000000000000e-01,3.732656557786109275e-01
1.679687500000000000e-01,3.726510366221118531e-01
1.718750000000000000e-01,3.717226088649043803e-01
1.757812500000000000e-01,3.704885577197041258e-01
1.796875000000000000e-01,3.689582350356666041e-01
1.835937500000000000e-01,3.671420585139069104e-01
1.875000000000000000e-01,3.650514034111065342e-01
1.914062500000000000e-01,3.626984881578225739e-01
1.953125000000000000e-01,3.600962552996840316e-01
1.992187500000000000e-01,3.572582491836469032e-01
2.031250000000000000e-01,3.541984918358380696e-01
2.070312500000000000e-01,3.509313584963180688e-01
2.109375000000000000e-01,3.474714542775760862e-01
2.148437500000000000e-01,3.438334933906244117e-01
2.187500000000000000e-01,3.400321823310594738e-01
2.226562500000000000e-01,3.360821083366900552e-01
2.265625000000000000e-01,3.319976343194515067e-01
2.304687500000000000e-01,3.277928013402071628e-01
2.343750000000000000e-01,3.234812395402428820e-01
2.382812500000000000e-01,3.190760882728636005e-01
2.421875000000000000e-01,3.145899259976783213e-01
2.460937500000000000e-01,3.100347103145821848e-01
2.500000000000000000e-01,3.054217283300850738e-01
2.539062500000000000e-01,3.007615573693538380e-01
2.578125000000000000e-01,2.960640358783024340e-01
2.617187500000000000e-01,2.913382442049137211e-01
2.656250000000000000e-01,2.865924948102236414e-01
2.695312500000000000e-01,2.818343313394127136e-01
2.734375000000000000e-01,2.770705358837268761e-01
2.773437500000000000e-01,2.723071436851984828e-01
2.812500000000000000e-01,2.675494644777796083e-01
2.851562500000000000e-01,2.628021096210026997e-01
2.890625000000000000e-01,2.580690241637455529e-01
2.929687500000000000e-01,2.533535229748302697e-01
2.968750000000000000e-01,2.486583300928497664e-01
3.007812500000000000e-01,2.439856204770354253e-01
3.046875000000000000e-01,2.393370633825124827e-01
3.085937500000000000e-01,2.347138666348982383e-01
3.125000000000000000e-01,2.301168211383579632e-01
3.164062500000000000e-01,2.255463450161112604e-01
3.203125000000000000e-01,2.210025268511675023e-01
3.242187500000000000e-01,2.164851675655032892e-01
3.281250000000000000e-01,2.119938205467928327e-01
3.320312500000000000e-01,2.075278297014673257e-01
3.359375000000000000e-01,2.030863651800967062e-01
3.398437500000000000e-01,1.986684565851124518e-01
3.437500000000000000e-01,1.942730235301848296e-01
3.476562500000000000e-01,1.898989034754556826e-01
3.515625000000000000e-01,1.855448768121927827e-01
3.554687500000000000e-01,1.812096892141248361e-01
3.593750000000000000e-01,1.768920713107924314e-01
3.632812500000000000e-01,1.725907557706083395e-01
3.671875000000000000e-01,1.683044919082483659e-01
3.710937500000000000e-01,1.640320579521397093e-01
3.750000000000000000e-01,1.597722711247087091e-01
3.789062500000000000e-01,1.555239956994682871e-01
3.828125000000000000e-01,1.512861492067134606e-01
3.867187500000000000e-01,1.470577069635279344e-01
3.906250000000000000e-01,1.428377051039149137e-01
3.945312500000000000e-01,1.386252422825950958e-01
3.984375000000000000e-01,1.344194802209930373e-01
4.023437500000000000e-01,1.302196432571545159e-01
4.062500000000000000e-01,1.260250170525711866e-01
