y,u_ghia,u_solver,error
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.766000000000000236e-01,8.412300000000000333e-01,8.436414534440971336e-01,2.411453444097100274e-03
9.687999999999999945e-01,7.887100000000000222e-01,7.918231690676995616e-01,3.113169067699539383e-03
9.608999999999999764e-01,7.372199999999999864e-01,7.403320868920735265e-01,3.112086892073540056e-03
9.530999999999999472e-01,6.871699999999999475e-01,6.908714587950242070e-01,3.701458795024259452e-03
8.516000000000000236e-01,2.315099999999999936e-01,2.363717424745019058e-01,4.861742474501912215e-03
7.344000000000000528e-01,3.320000000000000034e-03,4.087242036430983709e-03,7.672420364309836746e-04
6.171999999999999709e-01,-1.364100000000000035e-01,-1.387956739849576793e-01,-2.385673984957675797e-03
5.000000000000000000e-01,-2.058099999999999929e-01,-2.090297827657572327e-01,-3.219782765757239762e-03
4.531000000000000028e-01,-2.109000000000000041e-01,-2.138260672191117373e-01,-2.926067219111733175e-03
2.812999999999999945e-01,-1.566200000000000092e-01,-1.575240673757840881e-01,-9.040673757840789193e-04
1.718999999999999972e-01,-1.015000000000000069e-01,-1.016418257376973527e-01,-1.418257376973458550e-04
1.015999999999999959e-01,-6.433999999999999442e-02,-6.436644498344004650e-02,-2.644498344005208335e-05
7.030000000000000138e-02,-4.775000000000000078e-02,-4.657228501576685109e-02,1.177714984233149687e-03
6.250000000000000000e-02,-4.191999999999999893e-02,-4.193205259666532569e-02,-1.205259666532676466e-05
5.469999999999999862e-02,-3.717000000000000165e-02,-3.718935871535063165e-02,-1.935871535062999582e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
